name,party,state,sons,daughters,total_children,sex_ratio
Shri Raashid Alvi,Indian National Congress,Andhra Pradesh,2.0,,,
Shri Dilip Ray,Independent & Others,Odisha,2.0,1.0,3.0,2.0
Dr. Sarojini Babar,Congress,Maharashtra,,,,
Shri Paul Manoj Pandian,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Dr. Bharatkumar Raut,Shiv Sena,Maharashtra,1.0,,,
Shri Surendranath Dwivedy,Socialist Party,Odisha,,,,
Shri Debendra Nath Barman,Communist Party of India (Marxist),West Bengal,,,,
Shri Vinayak Sitaram Sarwate,Congress,Madhya Bharat,,,,
Shri Shivanand Tiwari,Janata Dal (United),Bihar,2.0,2.0,4.0,1.0
Shri Lingaraj Mishra,Indian National Congress,Odisha,,,,
Shri Vishnu Vinayak Sarwate,Congress,Madhya Pradesh,,,,
Sardar Jagjit Singh Aurora,Akali Dal,Punjab,,,,
Shri Sanjay Dattatraya Kakade,Independent & Others,Maharashtra,1.0,1.0,2.0,1.0
Shri Hari Singh Nalwa,Indian National Congress,Haryana,,,,
Shri Penumalli Madhu,Communist Party of India (Marxist),Andhra Pradesh,,1.0,,
Shri Narla Venkateswara Rao,Congress,Andhra Pradesh,,,,
Shri T.K.S. Elangovan,Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Smt. Sulata Deo,Biju Janata Dal,Odisha,,1.0,,
Chaudhary Chunni Lal,Bharatiya Janata Party,Uttar Pradesh,2.0,3.0,5.0,0.6666666666666666
Dr. Abhishek Manu Singhvi,Indian National Congress,West Bengal,2.0,,,
Shri Vidya Sagar Nishad,Rashtriya Janata Dal,Bihar,4.0,1.0,5.0,4.0
Shri Karma Topden,Sikkim Sangram Parishad,Sikkim,,,,
Shri K.B. Asthana,Janata Party,Uttar Pradesh,,,,
Shri Bhaiya Ram Munda,Indian National Congress,Bihar,,,,
Shri Bhola Prasad,Communist Party of India,Bihar,,,,
Shri Anantray Devshanker Dave,Bharatiya Janata Party,Gujarat,1.0,2.0,3.0,0.5
Shri Vishwanath Pratap Singh,CONG(I),Uttar Pradesh,,,,
Shri Lal K. Advani,Bharatiya Janata Party,Gujarat,,,,
Smt. Purabi Mukhopadhyay,Indian National Congress,West Bengal,,,,
Shri Ghanshyambhai Oza,Janata,Gujarat,,,,
Ms. Sushmita Dev,All India Trinamool Congress,West Bengal,,,,
Shri Dharmapuri Srinivas,Telangana Rashtra Samithi,Telangana,2.0,,,
Shri Dwijendra Nath Sharmah,Indian National Congress,Assam,2.0,,,
Shri Surendra Singh Nagar,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri Sanjay Dalmia,Samajwadi Party,Uttar Pradesh,,,,
Shri G.C. Chandrashekhar,Indian National Congress,Karnataka,1.0,1.0,2.0,1.0
Shri Dara Singh Chauhan,Samajwadi Party,Uttar Pradesh,2.0,2.0,4.0,1.0
Shri A.V. Swamy,Independent & Others,Odisha,2.0,3.0,5.0,0.6666666666666666
Shri R. T. Gopalan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri M. Rajasekara Murthy,Janata Dal (Secular),Karnataka,,5.0,,
Dr. R.P. Dube,Congress,Madhya Pradesh,,,,
Shri Kanjibhai Patel,Bharatiya Janata Party,Gujarat,3.0,,,
Shri Arjun Kumar Sengupta,Independent & Others,West Bengal,,1.0,,
Shri Dharmavir,CONG(I),Uttar Pradesh,,,,
Shri M.A. Baby,Communist Party of India (Marxist),Kerala,,,,
Shri K.C. Venugopal,Indian National Congress,Rajasthan,1.0,1.0,2.0,1.0
Shri Ebrahim Sulaiman Sait,Muslim League,Kerala,,,,
Shri Kalraj Mishra,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri Bhagwat Dayal Sharma,Congress,Haryana,,,,
Shri K.J. Alphons,Bharatiya Janata Party,Rajasthan,2.0,,,
Shri Rajiv Pratap Rudy,Bharatiya Janata Party,Bihar,,2.0,,
Mir Mohammad Fayaz,J&K Peoples Democratic Party,Jammu & Kashmir,1.0,2.0,3.0,0.5
Shri Yoginder K. Alagh,Independent & Others,Gujarat,,,,
Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2.0,,,
Shri Jai Prakash,Bahujan Samaj Party,Uttar Pradesh,2.0,,,
Shri Ram Ratan Ram,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri Baidyanath Rath,Communist Party of India,Odisha,,,,
Shri T. Anjiah,CONG(I),Andhra Pradesh,,,,
Shri Patil Puttappa,Congress,Mysore,,,,
Shri Bhaskar Rao Nekkanti,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Shri Ganeshwar Kusum,CONG(I),Odisha,,,,
Dr. Mahabir Prasad,Janata,Bihar,,,,
Shri Y. B. Chavan,Congress,Maharashtra,,,,
Shri Bhupinder Singh,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Dr. M.R. Vyas,Congress,Maharashtra,,,,
Shri Muzibulla Khan,Biju Janata Dal,Odisha,,1.0,,
Ms. Shoila Bala Das,Congress,Odisha,,,,
Shri C.K. Daphtary,Nominated,Nominated,,,,
Shri K.N. Singh,CONG(I),Uttar Pradesh,,,,
Shri Matang Sinh,Indian National Congress,Assam,,,,
Dr. D. Venkateshwar Rao,Bharatiya Janata Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri Anand Chand,Congress,Bihar,,,,
Smt. Pratibha Devisingh Patil,Indian National Congress,Maharashtra,,,,
Shri Derek O' Brien,All India Trinamool Congress,West Bengal,,1.0,,
Shri Shantimoy Ghosh,Communist Party of India (Marxist),West Bengal,,,,
Shri Suresh Pachouri,Indian National Congress,Madhya Pradesh,2.0,,,
Shri Dawood Ali Mirza,Indian National Congress,Madras,,,,
Shri C. O. Poulose,Communist Party of India (Marxist),Kerala,1.0,2.0,3.0,0.5
Smt. Sushma Swaraj,Bharatiya Janata Party,Madhya Pradesh,,1.0,,
Shri A. K. Refaye,Muslim League,Tamil Nadu,,,,
Shri Fakhruddin Ali Ahmed,Congress,Assam,,,,
Shri Mukut Mithi,Indian National Congress,Arunachal Pradesh,3.0,,,
Shri Thaawarchand Gehlot,Bharatiya Janata Party,Madhya Pradesh,3.0,1.0,4.0,3.0
Shri Abdul Rehman Sheikh,Janata,Uttar Pradesh,,,,
Shri Ashk Ali Tak,Indian National Congress,Rajasthan,1.0,2.0,3.0,0.5
Shri Tarit Mohan Dasgupta,Congress,Tripura,,,,
Shri Abu Asim Azmi,Samajwadi Party,Uttar Pradesh,1.0,5.0,6.0,0.2
Shri Rahul Bajaj,Independent & Others,Maharashtra,2.0,1.0,3.0,2.0
Shri Basudeb Mohapatra,Indian National Congress,Odisha,,,,
Shri Nanabhai Bhatt,Congress,Saurashtra,,,,
Dr. K.P. Ramalingam,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri A. Elavarasan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Shri D. Ramanuja Rao,Congress,Andhra Pradesh,,,,
Dr. Sumer Singh Solanki,Bharatiya Janata Party,Madhya Pradesh,1.0,1.0,2.0,1.0
Shri Shiv Swaroop Singh,Congress,Uttar Pradesh,,,,
Dr. A.Subba Rao,Communist Party of India,Kerala,,,,
Shri Kalyan Chand,Indian National Congress,Uttar Pradesh,,,,
Sardar K.M. Panikkar,Nominated,Nominated,,,,
Shri Bhadreswar Buragohain,Asom Gana Parishad,Assam,,,,
Shri Purna Chandra Sharma,Congress,Assam,,,,
Shri Mahendra Kumar Mohta,Other,Rajasthan,,,,
Shri V.P.M. Samy,All India Anna Dravida Munnetra Kazhagam,Puducherry,,,,
Shri Shankar Pratap Singh Deb,Swatantra Party,Odisha,,,,
Dr. Satyanarayan Jatiya,Bharatiya Janata Party,Madhya Pradesh,2.0,3.0,5.0,0.6666666666666666
Shri V. Kishore Chandra S. Deo,Congress (O),Andhra Pradesh,,,,
Shri Ghanshyam Chandra Kharwar,Bahujan Samaj Party,Uttar Pradesh,3.0,1.0,4.0,3.0
Shri R.S. Bharathi,Dravida Munnetra Kazhagam,Tamil Nadu,2.0,,,
Shri Vithalrao Madhavrao Jadhav,CONG(I),Maharashtra,,,,
Shri Jethalal Harikrishna Joshi,Congress,Bombay,,,,
Smt. Roopa Ganguly,Bharatiya Janata Party,Nominated,1.0,,,
Shri Brijlal Khabri,Bahujan Samaj Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Narain Dass Gupta,Aam Aadmi Party,National Capital Territory of Delhi,1.0,2.0,3.0,0.5
Shri Dineshchandra Jemalbhai Anavadiya,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri Yadlapati Venkat Rao,Telugu Desam Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri T. Chengalvaroyan,Congress (O),Tamil Nadu,,,,
Shri Jawhar Sircar,All India Trinamool Congress,West Bengal,1.0,,,
Shri Anil Sharma,Himachal Vikas Congress,Himachal Pradesh,2.0,,,
Shri Dilipbhai Pandya,Bharatiya Janata Party,Gujarat,2.0,1.0,3.0,2.0
Smt. Saroj Dubey,Rashtriya Janata Dal,Bihar,1.0,1.0,2.0,1.0
Shri Shankarrao Narayanarao Deshmukh,CONG(I),Maharashtra,,,,
Shri Sunil Shastri,Bharatiya Janata Party,Uttar Pradesh,3.0,,,
Smt. Bindumati Devi,Congress (O),Uttar Pradesh,,,,
Shri Maithilisharan Gupta,Nominated,Nominated,,,,
Smt. Manorama Pandey,CONG(I),Bihar,,,,
Shri Rudra Narain Jha,Sikkim Sangram Parishad,Bihar,,,,
Shri Shanti Bhushan,Janata,Uttar Pradesh,,,,
Shri Syed Rahmat Ali,CONG(I),Andhra Pradesh,,,,
Dr. Ashok Bajpai,Bharatiya Janata Party,Uttar Pradesh,,3.0,,
Shri Ahamed Hassan,All India Trinamool Congress,West Bengal,1.0,3.0,4.0,0.3333333333333333
Smt. Rajani Ashokrao Patil,Indian National Congress,Maharashtra,2.0,1.0,3.0,2.0
Shri Kumar Ketkar,Indian National Congress,Maharashtra,,,,
Shri Ng. Tompok Singh,Janata,Manipur and Tripura,,,,
Shri Rahasbihari Barik,Janata Dal,Odisha,,,,
Shri Buddha Priya Maurya,Indian National Congress,Andhra Pradesh,,,,
Shri S.P.M. Syed Khan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,1.0,,
Smt. Satya Bahin,CONG(I),Uttar Pradesh,,,,
Shri Sudarshan Akarapu,Telugu Desam Party,Andhra Pradesh,1.0,3.0,4.0,0.3333333333333333
Smt. Maya Devi Chettry,Congress,West Bengal,,,,
Shri Kumbha Ram Arya,Congress,Rajasthan,,,,
Shri Vishvjit P. Singh,CONG(I),Maharashtra,,,,
Shri Satyacharan,Congress,Uttar Pradesh,,,,
Shri N.H. Kumbhare,Republican Party of India,Maharashtra,,,,
Smt. S. G. Indira,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Dr. Karan Singh,Indian National Congress,National Capital Territory of Delhi,2.0,1.0,3.0,2.0
Shri N. Abdul Khader,Tamil Maanila Congress (Moopanar),Tamil Nadu,,,,
Shri V. Vijayasai Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,,1.0,,
Shri Venigalla Satyanarayana,Congress,Andhra Pradesh,,,,
Shri Krishna Bahadur Chettri,Congress,West Bengal,,,,
Shri Harendra  Singh Malik,Indian National Lok Dal,Haryana,2.0,1.0,3.0,2.0
Shri Dinshaw D. Italia,Indian National Congress,Hyderabad,,,,
Dr. Ashok Kumar Mittal,Aam Aadmi Party,Punjab,1.0,1.0,2.0,1.0
Shri Janardhana Poojary,Indian National Congress,Karnataka,2.0,1.0,3.0,2.0
Smt. Violet Alva,Indian National Congress,Mysore,,,,
Shri Sukhdev Singh Libra,Shiromani Akali Dal,Punjab,3.0,3.0,6.0,1.0
Shri T.V. Anandan,Indian National Congress,Tamil Nadu,,,,
Shri Alexander Warjri,Independent & Others,Meghalaya,,,,
Dr. Jagannath Mishra,Indian National Congress,Bihar,,,,
Shri Rajendra Singh Ishwar Singh,CONG(I),Madhya Pradesh,,,,
Shri Ajit  P.K. Jogi,CONG(I),Madhya Pradesh,,,,
Dr. K. Keshava Rao,Bharat Rashtra Samithi,Telangana,2.0,2.0,4.0,1.0
Shri Kotamraju  Rama Rao,Congress,Madras,,,,
Shri T.S. Bajwa,Peoples Democratic Party,Jammu & Kashmir,2.0,2.0,4.0,1.0
Shri M. J. Jamal Moideen,Indian National Congress,Madras,,,,
Shri Sankar Ghose,Congress,West Bengal,,,,
Shri Jose K. Mani,Kerala Congress (M),Kerala,1.0,2.0,3.0,0.5
Shri Ramchandra Bharadwaj,CONG(I),Bihar,,,,
Shri Ranvijay Singh Judev,Bharatiya Janata Party,Chhattisgarh,2.0,,,
Shri Kommareddi Suryanarayana,Kisan Mazdoor Praja Party,Madras,,,,
Shri Tribhovandas Kishibhai Patel,Congress,Gujarat,,,,
Dr. A. K. Patel,Bharatiya Janata Party,Gujarat,2.0,1.0,3.0,2.0
Shri Bal Krishna Kaul,Indian National Congress,Rajasthan,,,,
Shri B.P. Singhal,Bharatiya Janata Party,Uttar Pradesh,,1.0,,
Shri Krishna Kant Vyas,Congress,Madhya Bharat,,,,
Shri Mangani Lal Mandal,Rashtriya Janata Dal,Bihar,4.0,4.0,8.0,1.0
Shri Surendra Lath,Bharatiya Janata Party,Odisha,2.0,1.0,3.0,2.0
Shri T. Venkatram Reddy,CONG(I),Andhra Pradesh,,,,
Shri N.P. Chengalraya Naidu,Indian National Congress,Andhra Pradesh,,,,
Shri T. S. Gurung,Communist Party of India (Marxist),West Bengal,,,,
Shri A.D. Mani,Independent & Others,Madhya Pradesh,,,,
Shri Hashim Raja Allahabadi Abdi,Indian National Congress,Uttar Pradesh,,,,
Smt. Chandravati Lakhanpal,Indian National Congress,Uttar Pradesh,,,,
Smt. Chandresh Kumari,CONG(I),Himachal Pradesh,1.0,,,
Dr. Sahib Singh Sokhey,Nominated,Nominated,,,,
Smt. Mohinder Kaur,Bharatiya Janata Party,Himachal Pradesh,,,,
Shri Prakash Veer Shastri,Jansangh,Uttar Pradesh,,,,
Shri N.R. Elango,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Prof. C. Lakshmanna,Telugu Desam Party,Andhra Pradesh,,,,
Smt. Maya Singh,Bharatiya Janata Party,Madhya Pradesh,2.0,,,
Shri K. Bhabananda Singh,Bharatiya Janata Party,Manipur,1.0,1.0,2.0,1.0
Shri Ramnarayan Goswami,Communist Party of India (Marxist),West Bengal,,,,
Shri S.S. Surjewala,CONG(I),Haryana,,,,
Shri T.M. Venkatachalam,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Ashwani Kumar,Indian National Congress,Punjab,1.0,1.0,2.0,1.0
Shri Sunil Kumar Pattnaik,CONG(I),Odisha,,,,
Dr. C.M. Ramesh,Bharatiya Janata Party,Andhra Pradesh,2.0,,,
Shri T.A. Pai,Congress,Karnataka,,,,
Dr. Vijay Mallya,Independent & Others,Karnataka,1.0,2.0,3.0,0.5
Smt. Kanta Kardam,Bharatiya Janata Party,Uttar Pradesh,2.0,2.0,4.0,1.0
Shri Ramdas Athawale,Republican Party of India (ATHAWALE),Maharashtra,1.0,,,
Shri Arun Singh,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,3.0,0.5
Smt. Leela Damodara Menon,Indian National Congress,Kerala,,,,
Shri S. Guruswami,Other,Madras,,,,
Shri Ashok Gasti,Bharatiya Janata Party,Karnataka,,2.0,,
Shri Surendra Motilal Patel,Bharatiya Janata Party,Gujarat,1.0,2.0,3.0,0.5
Shri Anil Baluni,Bharatiya Janata Party,Uttarakhand,1.0,1.0,2.0,1.0
Shri Cho S. Ramaswamy,Nominated,Nominated,1.0,1.0,2.0,1.0
Shri Kailash Bihari Lall,Indian National Congress,Bihar,,,,
Shri S.C. Angre,Jansangh,Madhya Pradesh,,,,
Shri U.K. Lakshmana Gowda,Independent & Others,Karnataka,,,,
Shri T.K. Rangarajan,Communist Party of India (Marxist),Tamil Nadu,2.0,,,
Shri S.R. Bommai,Janata Dal,Karnataka,2.0,2.0,4.0,1.0
Dr. Govind Das Richharia,CONG(I),Uttar Pradesh,,,,
Shri A.M. Tariq,Congress,Jammu & Kashmir,,,,
Smt. Kanimozhi,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,,,
Shri Hardwar Dubey,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Baharul Islam,Congress,Assam,,,,
Shri Tapan Kumar Sen,Communist Party of India (Marxist),West Bengal,1.0,1.0,2.0,1.0
Shri J.P. Goyal,Lok Dal,Uttar Pradesh,,,,
Shri Sudhir Ghosh,Congress,West Bengal,,,,
Shri Anand Narain Mulla,Indian National Congress,Uttar Pradesh,,,,
Shri Jai Sukh Lal Hathi,Congress,Saurashtra,,,,
Shri Shwait Malik,Bharatiya Janata Party,Punjab,1.0,1.0,2.0,1.0
Shri K.P.K. Kumaran,Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Thakur Bhannu Pratap Singh,Congress,Madhya Pradesh,,,,
Prof. Satyavrata Siddhantalankar,Nominated,Nominated,,,,
Dr. Dharmasthala Veerendra Heggade,Nominated,Nominated,,1.0,,
Prof. Mrinal Miri,Nominated,Nominated,,2.0,,
Shri Sushil Kumar Gupta,Aam Aadmi Party,National Capital Territory of Delhi,1.0,2.0,3.0,0.5
Shri Venkataramana Rao Mopidevi,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri Mohammed Amin Ansari,Congress,Uttar Pradesh,,,,
Shri Gaddam Narayana Reddy,Congress,Andhra Pradesh,,,,
Shri Mudumala Henry Samuel,Congress,Andhra Pradesh,,,,
Shri T.R. Deogirikar,Congress,Bombay,,,,
Shri V.V. Swaminathan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri J.S. Tilak,Congress,Maharashtra,,,,
Shri Nagmani,Janata Dal,Bihar,,,,
Shri Chandragopal  Gajadharprasad. Misra,Other,Madhya Pradesh,,,,
Shri Sawai Singh Sisodia,Congress,Madhya Pradesh,,,,
Shri Palden Tsering Gyamtso,Sikkim Democratic Front,Sikkim,3.0,2.0,5.0,1.5
Dr. Narayan Singh Manaklao,Bharatiya Janata Party,Nominated,5.0,,,
Shri Ram Sewak Chowdhary,CONG(I),Uttar Pradesh,,,,
Pandit Anant Ram,Other,Jammu & Kashmir,,,,
Kazi Syed Karimuddin,Indian National Congress,Madhya Pradesh,,,,
Shri Jana Krishnamurthy  K.,Bharatiya Janata Party,Gujarat,2.0,3.0,5.0,0.6666666666666666
Smt. Jamuna Devi,Janata,Madhya Pradesh,,,,
Shri Bhagwati Singh,Samajwadi Party,Uttar Pradesh,3.0,1.0,4.0,3.0
Smt. Sumitra G. Kulkarni,Indian National Congress,Gujarat,,,,
Shri Shibu Soren,Jharkhand Mukti Morcha,Jharkhand,3.0,1.0,4.0,3.0
Dr. Raghunath Mohapatra,Bharatiya Janata Party,Nominated,3.0,2.0,5.0,1.5
Shri M.R. Krishna,Indian National Congress,Andhra Pradesh,,,,
Smt. Hamida Habibullah,CONG(I),Uttar Pradesh,,,,
Kaka Saheb Kalelkar,Nominated,Nominated,,,,
Shri Adinarayana Reddy,CONG(I),Andhra Pradesh,,,,
Shri Jyotiraditya M. Scindia,Bharatiya Janata Party,Madhya Pradesh,1.0,1.0,2.0,1.0
Shri R. C. Gupta,Congress,Uttar Pradesh,,,,
Shri V.N. Tiwari,Nominated,Nominated,,,,
Shri Aas Mohammad,Janata Dal,Bihar,,,,
Shri Bhalchanda Maheshwar Gupte,Congress,Bombay,,,,
Shri Satya Pal Malik,Indian National Congress,Uttar Pradesh,,,,
Shri Sitaram Daga,Congress,West Bengal,,,,
Dr. Abrar Ahmed,Indian National Congress,Rajasthan,1.0,1.0,2.0,1.0
Shri Narsingh Narain Pandey,CONG(I),Uttar Pradesh,,,,
Shri G.G. Swell,Hill State Peoples Democratic Party,Meghalaya,,,,
Prof. P.J. Kurien,Indian National Congress,Kerala,,2.0,,
Shri B.B. Tiwari,Samajwadi Party,Uttar Pradesh,2.0,2.0,4.0,1.0
Shri Ramadhar Kashyap,Indian National Congress,Chhattisgarh,1.0,4.0,5.0,0.25
Shri Krishna Kumar Birla,CONG(I),Rajasthan,,3.0,,
Shri Mohd. Ali Khan,Indian National Congress,Andhra Pradesh,2.0,2.0,4.0,1.0
Shri Devi Lal,Indian National Lok Dal,Haryana,4.0,1.0,5.0,4.0
Shri Umashankar Dikshit,Congress,Uttar Pradesh,,,,
Shri Maharaja Sanajaoba Leishemba,Bharatiya Janata Party,Manipur,1.0,1.0,2.0,1.0
Shri Ghulam Nabi Azad,Indian National Congress,Jammu & Kashmir,1.0,1.0,2.0,1.0
Shri Mahitosh Purakayastha,Congress,Assam,,,,
Shri Alok Tiwari,Samajwadi Party,Uttar Pradesh,,2.0,,
Shri Shankar Roy Chowdhury,Independent & Others,West Bengal,1.0,1.0,2.0,1.0
Smt. Geeta alias Chandraprabha,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Dr. Salig Ram,Congress,Punjab,,,,
Shri D. B. Chandre Gowda,Janata Dal,Karnataka,,,,
Shri Rewati Raman Singh,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri K. Brahamananda Reddi,Congress,Andhra Pradesh,,,,
Dr. Fauzia Khan,Nationalist Congress Party,Maharashtra,1.0,1.0,2.0,1.0
Shri Harisinh Bhagubava Mahida,Indian National Congress,Gujarat,,,,
Shri Rangasayee Ramakrishna,Bharatiya Janata Party,Karnataka,1.0,1.0,2.0,1.0
Shri Gaj Singh,Independent & Others,Rajasthan,,,,
Shri Solipeta Ramachandra Reddy,Telugu Desam Party,Andhra Pradesh,2.0,1.0,3.0,2.0
Shri Maneklal Chunilal Shah,Congress,Gujarat,,,,
Shri Keshavprasad Shukla,CONG(I),Madhya Pradesh,,,,
Shri Yogendra Makwana,Indian National Congress,Gujarat,,,,
Shri Maqsood Ali Khan,Indian National Congress,Karnataka,,,,
Shri Ranjib Biswal,Indian National Congress,Odisha,,,,
Hafiz Mohammad Ibrahim,Congress,Uttar Pradesh,,,,
Shri Shivraj Vishwanath Patil,Indian National Congress,Maharashtra,1.0,1.0,2.0,1.0
Shri Sunil Basuray,Communist Party of India (Marxist),West Bengal,,,,
Shri Robin Kakati,Janata,Assam,,,,
Prof. S. Nurul Hasan,Indian National Congress,Uttar Pradesh,,,,
Shri O. S. Manian,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Shri Jagadish Jani,CONG(I),Odisha,,,,
Dr. Zakir Hussain,Nominated,Nominated,,,,
Shri Ranbir Singh,Congress,Haryana,,,,
Shri Subhash Chandra Singh,Biju Janata Dal,Odisha,1.0,,,
Shri Ram Shakal,Bharatiya Janata Party,Nominated,2.0,1.0,3.0,2.0
Smt. Lilavati Munshi,Indian National Congress,Bombay,,,,
Dr. D R Gadgil,Nominated,Nominated,,,,
Shri V. Venka,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Pranab Chatterjee,Janata Party,Bihar,,,,
Shri Abdul Wahab,Indian Union Muslim League,Kerala,4.0,,,
Dr. Mahendra Prasad,Janata Dal (United),Bihar,,,,
Shri Nikunja Behari Maiti,Indian National Congress,West Bengal,,,,
Dr. J.P. Srivastava,Indian National Congress,Uttar Pradesh,,,,
Shri Nand Kishore Bhatt,CONG(I),Madhya Pradesh,,,,
Shri Narsinghrao Balbhimrao Deshmukh,Peasants and Workers Party,Bombay,,,,
Shri Kanhaiyalal D. Vaidya,Congress,Madhya Bharat,,,,
Shri Ryaga Krishnaiah,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,,,,
Shri Kartikeya Sharma,Independent & Others,Haryana,1.0,1.0,2.0,1.0
Smt. Mira Das,Janata Dal,Odisha,,,,
Shri Chandulal Pitamberdas Parikh,Congress,Bombay,,,,
Shri Digvijaya Singh,Indian National Congress,Madhya Pradesh,1.0,3.0,4.0,0.3333333333333333
Dr. V. Maitreyan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Sharief Ud-Din Shariq,J&K National Conference,Jammu & Kashmir,1.0,4.0,5.0,0.25
Dr. N. Janardhana Reddy,Congress,Andhra Pradesh,4.0,,,
Shri Tariq Anwar,Nationalist Congress Party,Maharashtra,1.0,4.0,5.0,0.25
Shri Narayan Datt Tiwari,CONG(I),Uttar Pradesh,,,,
Shri Suresh Narain Mulla,Indian National Congress,Uttar Pradesh,,,,
Shri Banamali Babu,CONG(I),Odisha,,,,
Pandit Sitacharan Dube,Congress,Madhya Pradesh,,,,
Shri Satyanand Mishra,Indian National Congress,Odisha,,,,
Shri M.N. Kaul,Nominated,Nominated,,,,
Shri T.N. Chaturvedi,Bharatiya Janata Party,Uttar Pradesh,3.0,1.0,4.0,3.0
Shri Majeed Memon,Nationalist Congress Party,Maharashtra,2.0,,,
Shri Mukhtiar Singh Malik,Indian National Congress,Haryana,,,,
Shri Dayaldas Kurre,Indian National Congress,Madhya Pradesh,,,,
Shri Sukhdev Prasad,Indian National Congress,Uttar Pradesh,,,,
Shri Arjun Arora,Congress,Uttar Pradesh,,,,
Shri Raju Parmar,Indian National Congress,Gujarat,2.0,,,
Shri Rajniti Prasad,Rashtriya Janata Dal,Bihar,,4.0,,
Mahant Laxmi Narain Das,Congress,Madhya Pradesh,,,,
Shri Biren Roy,Congress,West Bengal,,,,
Shri Uttam Singh Dugal,Independent & Others,Punjab,,,,
Shri Bashistha Narain Singh,Janata Dal (United),Bihar,1.0,2.0,3.0,0.5
Shri Manohar Kant Dhyani,Bharatiya Janata Party,Uttarakhand,4.0,1.0,5.0,4.0
Shri Chhotubhai Patel,CONG(I),Gujarat,,,,
Shri Ram Bhagat Paswan,CONG(I),Bihar,,,,
Babu Gopinath Singh,Congress,Uttar Pradesh,,,,
Shri V. Muraleedharan,Bharatiya Janata Party,Maharashtra,,,,
Smt. Gurcharan Kaur,Bharatiya Janata Party,Punjab,2.0,,,
Shri Bhagaban Majhi,Janata Dal,Odisha,,,,
Shri M. Ajmal Khan,Nominated,Nominated,,,,
Shri Khurshed Alam Khan,Indian National Congress,National Capital Territory of Delhi,,,,
Shri J.K. Jain,Indian National Congress,Madhya Pradesh,,,,
Smt. Suryakanta Patil,CONG(I),Maharashtra,,,,
Shri P. Rajeeve,Communist Party of India (Marxist),Kerala,,2.0,,
Shri Kartar Singh Duggal,Nominated,Nominated,1.0,1.0,2.0,1.0
Shri P.N. Sukul,CONG(I),Uttar Pradesh,,,,
Shri K.B. Shanappa,Bharatiya Janata Party,Karnataka,2.0,2.0,4.0,1.0
Shri Sasankasekhar Sanyal,Communist Party of India (Marxist),West Bengal,,,,
Shri Sadasiv Bagaitkar,Janata Party,Maharashtra,,,,
Shri Brijlal,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri Adduru Balarami Reddy,Congress,Andhra Pradesh,,,,
Shri Melhupra Vero,Congress,Nagaland,,,,
Prof. Rasheeduddin Khan,Nominated,Nominated,,,,
Shri C. Ramachandraiah,Telugu Desam Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri R.S. Naik,Janata,Karnataka,,,,
Shri Aravindakshan Kaimal,Other,Kerala,,,,
Shri S.C. Jamir,CONG(I),Nagaland,,,,
Sardar Ram Singh,Swatantra Party,Uttar Pradesh,,,,
Shri Phanindra Nath Hansda,Congress,West Bengal,,,,
